transaction_id,account_id,member_id,transaction_type,amount,timestamp,recipient,channel
T0011929,ACC00336,M00336,Deposit,1111.61,2025-07-01T08:26:53,,Branch
T0053281,ACC01471,M01471,Withdrawal,2132.59,2025-07-01T08:41:55,,Branch
T0011824,ACC00334,M00334,Deposit,29349.64,2025-07-01T08:42:36,,Branch
T0011360,ACC00320,M00320,Withdrawal,25439.56,2025-07-01T08:54:05,,Branch
T0044729,ACC01245,M01245,Deposit,5936.04,2025-07-01T08:54:18,,Branch
T0044934,ACC01250,M01250,Deposit,8521.3,2025-07-01T09:12:40,,Branch
T0011671,ACC00331,M00331,Deposit,22785.99,2025-07-01T09:17:45,,Branch
T0049726,ACC01384,M01384,Deposit,3111.19,2025-07-01T09:29:49,,Branch
T0042927,ACC01199,M01199,Withdrawal,2916.66,2025-07-01T09:33:54,,Branch
T0043355,ACC01208,M01208,Withdrawal,13032.82,2025-07-01T09:45:48,,Branch
T0044659,ACC01243,M01243,Deposit,7622.27,2025-07-01T09:56:27,,Branch
T0010203,ACC00282,M00282,Deposit,7444.75,2025-07-01T09:59:11,,Branch
T0004122,ACC00116,M00116,Withdrawal,14488.92,2025-07-01T10:00:14,,Branch
T0019024,ACC00531,M00531,Withdrawal,15291.82,2025-07-01T10:12:02,,Branch
T0053915,ACC01483,M01483,Deposit,22115.48,2025-07-01T10:12:11,,Branch
T0034443,ACC00972,M00972,Deposit,8166.45,2025-07-01T10:19:24,,Branch
T0050758,ACC01411,M01411,Deposit,15521.84,2025-07-01T10:25:02,,Branch
T0034985,ACC00988,M00988,Withdrawal,22604.31,2025-07-01T10:35:44,,Branch
T0002264,ACC00066,M00066,Withdrawal,1331.69,2025-07-01T10:58:28,,Branch
T0006136,ACC00171,M00171,Withdrawal,17588.41,2025-07-01T11:21:57,,Branch
T0050165,ACC01394,M01394,Deposit,15729.63,2025-07-01T11:32:28,,Branch
T0026389,ACC00737,M00737,Deposit,36519.5,2025-07-01T11:35:12,,Branch
T0001865,ACC00054,M00054,Deposit,5310.51,2025-07-01T11:35:35,,Branch
T0020409,ACC00567,M00567,Deposit,30523.36,2025-07-01T11:55:38,,Branch
T0044439,ACC01234,M01234,Withdrawal,11265.01,2025-07-01T11:57:32,,Branch
T0028146,ACC00784,M00784,Withdrawal,6012.01,2025-07-01T12:17:35,,Branch
T0027080,ACC00754,M00754,Withdrawal,1381.7,2025-07-01T12:24:28,,Branch
T0050530,ACC01404,M01404,Withdrawal,13048.97,2025-07-01T12:25:43,,Branch
T0004678,ACC00135,M00135,Withdrawal,31972.75,2025-07-01T12:34:14,,Branch
T0012249,ACC00347,M00347,Deposit,13004.32,2025-07-01T12:44:54,,Branch
T0022747,ACC00638,M00638,Deposit,24423.36,2025-07-01T12:53:52,,Branch
T0051150,ACC01419,M01419,Withdrawal,5110.51,2025-07-01T12:54:06,,Branch
T0050637,ACC01406,M01406,Deposit,21501.13,2025-07-01T13:17:33,,Branch
T0045208,ACC01260,M01260,Withdrawal,1487.19,2025-07-01T13:30:15,,Branch
T0005967,ACC00167,M00167,Deposit,28623.23,2025-07-01T13:33:08,,Branch
T0016824,ACC00471,M00471,Deposit,25911.05,2025-07-01T13:41:12,,Branch
T0051029,ACC01416,M01416,Withdrawal,1946.11,2025-07-01T13:43:05,,Branch
T0038331,ACC01078,M01078,Deposit,30291.21,2025-07-01T13:45:55,,Branch
T0017065,ACC00479,M00479,Deposit,2121.74,2025-07-01T13:49:52,,Branch
T0038941,ACC01094,M01094,Withdrawal,3110.22,2025-07-01T13:51:01,,Branch
T0006893,ACC00190,M00190,Withdrawal,1279.31,2025-07-01T14:09:20,,Branch
T0047142,ACC01316,M01316,Withdrawal,3039.19,2025-07-01T14:16:21,,Branch
T0050532,ACC01404,M01404,Deposit,18277.73,2025-07-01T14:18:29,,Branch
T0005552,ACC00156,M00156,Withdrawal,2392.78,2025-07-01T14:18:57,,Branch
T0018679,ACC00518,M00518,Deposit,18093.62,2025-07-01T14:22:03,,Branch
T0033698,ACC00953,M00953,Withdrawal,21874.44,2025-07-01T14:59:38,,Branch
T0007325,ACC00198,M00198,Withdrawal,10940.78,2025-07-01T15:14:16,,Branch
T0016046,ACC00447,M00447,Deposit,7306.84,2025-07-01T15:34:07,,Branch
T0042291,ACC01180,M01180,Deposit,13786.55,2025-07-01T15:46:50,,Branch
T0030400,ACC00847,M00847,Withdrawal,9362.57,2025-07-01T15:54:13,,Branch
T0028640,ACC00795,M00795,Deposit,9259.12,2025-07-01T15:55:38,,Branch
T0027525,ACC00769,M00769,Deposit,28276.09,2025-07-01T16:13:01,,Branch
T0033662,ACC00952,M00952,Deposit,44812.89,2025-07-01T16:18:24,,Branch
T0026575,ACC00742,M00742,Deposit,2041.73,2025-07-01T16:24:08,,Branch
T0051957,ACC01439,M01439,Deposit,21800.96,2025-07-01T16:51:42,,Branch
T0020539,ACC00572,M00572,Withdrawal,23067.39,2025-07-01T17:00:02,,Branch
T0007001,ACC00192,M00192,Deposit,1612.02,2025-07-01T17:17:02,,Branch
T0011431,ACC00321,M00321,Deposit,11679.9,2025-07-01T17:23:40,,Branch
T0027598,ACC00770,M00770,Deposit,6780.64,2025-07-01T17:25:37,,Branch
T0036238,ACC01025,M01025,Deposit,2690.2,2025-07-01T17:35:20,,Branch
T0036900,ACC01045,M01045,Withdrawal,1909.15,2025-07-01T17:41:56,,Branch
T0046544,ACC01301,M01301,Withdrawal,3080.12,2025-07-01T17:55:59,,Branch
T0028094,ACC00782,M00782,Deposit,16887.52,2025-07-01T18:10:59,,Branch
T0013392,ACC00380,M00380,Withdrawal,18409.83,2025-07-01T18:11:30,,Branch
T0049949,ACC01391,M01391,Withdrawal,3857.39,2025-07-01T18:16:01,,Branch
T0037153,ACC01050,M01050,Deposit,18766.46,2025-07-01T18:27:16,,Branch
T0017485,ACC00487,M00487,Withdrawal,24233.52,2025-07-01T18:31:49,,Branch
T0000541,ACC00017,M00017,Deposit,18783.33,2025-07-01T18:49:04,,Branch
T0036578,ACC01036,M01036,Deposit,5532.22,2025-07-01T18:50:46,,Branch
T0010292,ACC00285,M00285,Withdrawal,1215.62,2025-07-01T19:10:47,,Branch
T0027595,ACC00770,M00770,Withdrawal,2806.39,2025-07-01T20:02:09,,Branch
T0012210,ACC00346,M00346,Deposit,3976.33,2025-07-01T20:11:09,,Branch
T0029676,ACC00830,M00830,Deposit,1567.03,2025-07-01T20:40:56,,Branch
T0050305,ACC01399,M01399,Withdrawal,2400.41,2025-07-01T20:45:17,,Branch
T0054091,ACC01491,M01491,Deposit,8107.88,2025-07-01T20:46:47,,Branch
T0047727,ACC01335,M01335,Withdrawal,1653.72,2025-07-01T20:57:59,,Branch
T0039013,ACC01095,M01095,Deposit,7608.51,2025-07-01T21:00:35,,Branch
T0039627,ACC01107,M01107,Withdrawal,2329.12,2025-07-01T21:32:20,,Branch
T0014818,ACC00420,M00420,Deposit,8634.23,2025-07-01T21:34:18,,Branch
T0019901,ACC00553,M00553,Deposit,3124.2,2025-07-01T21:35:19,,Branch
T0023052,ACC00645,M00645,Withdrawal,20476.31,2025-07-01T22:01:49,,Branch
T0028327,ACC00789,M00789,Withdrawal,1903.97,2025-07-01T22:13:58,,Branch
T0034407,ACC00971,M00971,Withdrawal,24347.4,2025-07-01T22:15:14,,Branch
T0025954,ACC00727,M00727,Withdrawal,4928.45,2025-07-01T22:16:35,,Branch
T0020805,ACC00577,M00577,Deposit,6321.21,2025-07-01T22:33:30,,Branch
T0044176,ACC01228,M01228,Deposit,3845.93,2025-07-01T22:37:42,,Branch
T0023695,ACC00663,M00663,Deposit,13721.68,2025-07-01T22:41:00,,Branch
T0042676,ACC01190,M01190,Withdrawal,2755.8,2025-07-01T22:42:14,,Branch
T0013764,ACC00390,M00390,Deposit,4794.92,2025-07-01T22:52:02,,Branch
T0032154,ACC00903,M00903,Withdrawal,1681.07,2025-07-01T22:57:06,,Branch
T0027838,ACC00775,M00775,Withdrawal,2360.52,2025-07-01T23:04:37,,Branch
T0031550,ACC00884,M00884,Deposit,1814.42,2025-07-01T23:16:42,,Branch
T0047981,ACC01340,M01340,Withdrawal,6720.88,2025-07-01T23:18:59,,Branch
T0022625,ACC00635,M00635,Deposit,4309.5,2025-07-01T23:46:56,,Branch
T0030663,ACC00856,M00856,Deposit,12539.69,2025-07-02T00:02:31,,Branch
T0025156,ACC00705,M00705,Deposit,4413.46,2025-07-02T00:24:58,,Branch
T0046470,ACC01300,M01300,Withdrawal,2201.57,2025-07-02T00:52:08,,Branch
T0004554,ACC00131,M00131,Withdrawal,7328.08,2025-07-02T01:10:36,,Branch
T0034747,ACC00982,M00982,Deposit,2868.92,2025-07-02T01:17:21,,Branch
T0033953,ACC00957,M00957,Withdrawal,5505.84,2025-07-02T01:28:11,,Branch
T0023933,ACC00669,M00669,Deposit,13212.37,2025-07-02T01:40:48,,Branch
T0004852,ACC00139,M00139,Deposit,7803.03,2025-07-02T01:44:17,,Branch
T0051339,ACC01423,M01423,Withdrawal,8639.55,2025-07-02T01:44:39,,Branch
T0005896,ACC00166,M00166,Withdrawal,18655.73,2025-07-02T02:01:34,,Branch
T0027344,ACC00766,M00766,Withdrawal,3815.54,2025-07-02T02:04:12,,Branch
T0032973,ACC00933,M00933,Deposit,3142.97,2025-07-02T02:04:16,,Branch
T0045633,ACC01277,M01277,Deposit,23080.76,2025-07-02T02:20:26,,Branch
T0048355,ACC01348,M01348,Withdrawal,4443.61,2025-07-02T02:23:21,,Branch
T0016464,ACC00459,M00459,Deposit,21856.55,2025-07-02T02:32:14,,Branch
T0015036,ACC00424,M00424,Deposit,39729.18,2025-07-02T02:47:50,,Branch
T0019827,ACC00552,M00552,Withdrawal,2907.83,2025-07-02T02:51:10,,Branch
T0011252,ACC00318,M00318,Deposit,5645.5,2025-07-02T03:00:46,,Branch
T0003565,ACC00099,M00099,Deposit,3687.85,2025-07-02T03:01:19,,Branch
T0038174,ACC01074,M01074,Deposit,1776.43,2025-07-02T03:44:27,,Branch
T0030661,ACC00856,M00856,Deposit,16770.75,2025-07-02T03:51:41,,Branch
T0004780,ACC00138,M00138,Deposit,2413.5,2025-07-02T04:00:51,,Branch
T0050301,ACC01399,M01399,Withdrawal,1243.25,2025-07-02T04:12:58,,Branch
T0030735,ACC00857,M00857,Deposit,7628.04,2025-07-02T04:25:43,,Branch
T0021042,ACC00582,M00582,Withdrawal,1246.45,2025-07-02T04:42:46,,Branch
T0030625,ACC00855,M00855,Deposit,18325.67,2025-07-02T04:46:10,,Branch
T0039402,ACC01103,M01103,Deposit,8417.38,2025-07-02T05:12:39,,Branch
T0014004,ACC00397,M00397,Deposit,18210.29,2025-07-02T05:20:00,,Branch
T0007953,ACC00220,M00220,Withdrawal,8989.18,2025-07-02T05:49:19,,Branch
T0044801,ACC01246,M01246,Withdrawal,5412.64,2025-07-02T05:53:38,,Branch
T0028464,ACC00792,M00792,Withdrawal,2960.08,2025-07-02T05:58:01,,Branch
T0026182,ACC00732,M00732,Deposit,8924.97,2025-07-02T06:12:50,,Branch
T0013693,ACC00389,M00389,Withdrawal,15442.93,2025-07-02T06:28:51,,Branch
T0028859,ACC00804,M00804,Withdrawal,23414.84,2025-07-02T06:59:42,,Branch
T0008118,ACC00224,M00224,Deposit,21577.68,2025-07-02T07:03:45,,Branch
T0037648,ACC01061,M01061,Withdrawal,4802.0,2025-07-02T07:25:38,,Branch
T0006206,ACC00172,M00172,Deposit,3369.09,2025-07-02T07:26:45,,Branch
T0001447,ACC00045,M00045,Deposit,1362.18,2025-07-02T07:27:10,,Branch
T0053654,ACC01478,M01478,Withdrawal,10136.45,2025-07-02T07:33:10,,Branch
T0043625,ACC01217,M01217,Withdrawal,1141.74,2025-07-02T07:42:27,,Branch
T0053474,ACC01475,M01475,Withdrawal,1866.59,2025-07-02T07:54:17,,Branch
T0008026,ACC00221,M00221,Withdrawal,5109.65,2025-07-02T08:01:51,,Branch
T0036971,ACC01047,M01047,Deposit,2704.96,2025-07-02T08:09:23,,Branch
T0035068,ACC00990,M00990,Withdrawal,2857.13,2025-07-02T08:22:34,,Branch
T0041735,ACC01165,M01165,Deposit,3405.42,2025-07-02T08:37:44,,Branch
T0014757,ACC00417,M00417,Withdrawal,6693.0,2025-07-02T08:40:56,,Branch
T0052970,ACC01464,M01464,Withdrawal,11550.43,2025-07-02T08:43:14,,Branch
T0041130,ACC01147,M01147,Deposit,29236.69,2025-07-02T09:02:22,,Branch
T0001380,ACC00044,M00044,Withdrawal,27159.51,2025-07-02T09:21:16,,Branch
T0011169,ACC00316,M00316,Deposit,26136.79,2025-07-02T09:48:03,,Branch
T0013321,ACC00379,M00379,Deposit,4646.64,2025-07-02T10:26:31,,Branch
T0017125,ACC00482,M00482,Withdrawal,5044.33,2025-07-02T10:33:17,,Branch
T0049818,ACC01387,M01387,Withdrawal,5057.17,2025-07-02T10:39:00,,Branch
T0053652,ACC01478,M01478,Withdrawal,13540.49,2025-07-02T10:40:53,,Branch
T0026183,ACC00732,M00732,Deposit,8014.32,2025-07-02T10:44:22,,Branch
T0032971,ACC00933,M00933,Deposit,960.41,2025-07-02T10:51:26,,Branch
T0004342,ACC00121,M00121,Withdrawal,1527.25,2025-07-02T11:18:14,,Branch
T0034359,ACC00969,M00969,Deposit,12263.61,2025-07-02T11:23:30,,Branch
T0003386,ACC00096,M00096,Deposit,2414.96,2025-07-02T11:37:59,,Branch
T0027528,ACC00769,M00769,Deposit,32673.62,2025-07-02T11:39:48,,Branch
T0051874,ACC01437,M01437,Withdrawal,1335.99,2025-07-02T11:45:31,,Branch
T0040565,ACC01133,M01133,Withdrawal,14593.58,2025-07-02T12:35:39,,Branch
T0043540,ACC01215,M01215,Deposit,14857.24,2025-07-02T12:45:31,,Branch
T0027217,ACC00760,M00760,Deposit,22147.77,2025-07-02T13:01:20,,Branch
T0044357,ACC01232,M01232,Deposit,14251.11,2025-07-02T13:15:29,,Branch
T0015530,ACC00435,M00435,Withdrawal,15966.17,2025-07-02T13:37:49,,Branch
T0029165,ACC00811,M00811,Withdrawal,4602.67,2025-07-02T13:39:10,,Branch
T0040324,ACC01127,M01127,Deposit,19064.9,2025-07-02T13:51:43,,Branch
T0021040,ACC00582,M00582,Deposit,2791.66,2025-07-02T14:18:06,,Branch
T0020117,ACC00560,M00560,Deposit,9149.68,2025-07-02T14:34:34,,Branch
T0027487,ACC00768,M00768,Deposit,8021.98,2025-07-02T14:40:59,,Branch
T0023733,ACC00664,M00664,Deposit,1416.98,2025-07-02T14:44:59,,Branch
T0043391,ACC01209,M01209,Deposit,8295.11,2025-07-02T14:46:54,,Branch
T0024198,ACC00678,M00678,Deposit,11384.69,2025-07-02T15:10:38,,Branch
T0016375,ACC00456,M00456,Withdrawal,13352.19,2025-07-02T15:21:09,,Branch
T0034898,ACC00985,M00985,Deposit,2028.54,2025-07-02T15:36:11,,Branch
T0019781,ACC00550,M00550,Withdrawal,4522.83,2025-07-02T15:58:36,,Branch
T0020728,ACC00576,M00576,Deposit,2934.51,2025-07-02T16:03:21,,Branch
T0049653,ACC01383,M01383,Deposit,4314.26,2025-07-02T16:14:24,,Branch
T0014399,ACC00409,M00409,Withdrawal,12446.68,2025-07-02T16:30:03,,Branch
T0040210,ACC01124,M01124,Withdrawal,2386.54,2025-07-02T16:36:47,,Branch
T0021414,ACC00591,M00591,Deposit,6903.03,2025-07-02T16:39:53,,Branch
T0048800,ACC01362,M01362,Withdrawal,1741.47,2025-07-02T16:40:27,,Branch
T0044106,ACC01227,M01227,Deposit,24713.48,2025-07-02T16:41:32,,Branch
T0002336,ACC00067,M00067,Deposit,10564.83,2025-07-02T17:14:47,,Branch
T0010069,ACC00277,M00277,Withdrawal,1268.11,2025-07-02T17:18:51,,Branch
T0050958,ACC01415,M01415,Deposit,9237.31,2025-07-02T17:44:15,,Branch
T0036364,ACC01029,M01029,Deposit,27915.57,2025-07-02T17:54:37,,Branch
T0054041,ACC01489,M01489,Withdrawal,2855.1,2025-07-02T17:58:20,,Branch
T0000639,ACC00020,M00020,Withdrawal,3822.24,2025-07-02T17:59:56,,Branch
T0042078,ACC01174,M01174,Withdrawal,2111.39,2025-07-02T18:16:08,,Branch
T0019567,ACC00546,M00546,Deposit,10586.46,2025-07-02T18:28:22,,Branch
T0000110,ACC00003,M00003,Deposit,4356.08,2025-07-02T18:28:25,,Branch
T0008669,ACC00238,M00238,Deposit,5647.08,2025-07-02T18:36:33,,Branch
T0027261,ACC00764,M00764,Deposit,4912.7,2025-07-02T19:11:37,,Branch
T0046144,ACC01291,M01291,Deposit,4003.87,2025-07-02T19:21:41,,Branch
T0031294,ACC00875,M00875,Deposit,2661.65,2025-07-02T19:30:33,,Branch
T0043804,ACC01221,M01221,Deposit,2150.27,2025-07-02T19:31:14,,Branch
T0020730,ACC00576,M00576,Deposit,3069.79,2025-07-02T19:32:36,,Branch
T0021739,ACC00604,M00604,Withdrawal,28239.72,2025-07-02T19:43:31,,Branch
T0037909,ACC01069,M01069,Withdrawal,4134.51,2025-07-02T19:45:21,,Branch
T0052786,ACC01459,M01459,Deposit,10209.13,2025-07-02T19:53:10,,Branch
T0052968,ACC01464,M01464,Deposit,12419.83,2025-07-02T19:59:12,,Branch
T0012009,ACC00339,M00339,Deposit,8499.52,2025-07-02T20:01:08,,Branch
T0024671,ACC00689,M00689,Deposit,17204.44,2025-07-02T20:05:05,,Branch
T0030733,ACC00857,M00857,Deposit,8103.5,2025-07-02T20:15:32,,Branch
T0033451,ACC00946,M00946,Withdrawal,24027.8,2025-07-02T20:16:29,,Branch
T0019073,ACC00533,M00533,Deposit,6445.5,2025-07-02T20:25:23,,Branch
T0004778,ACC00138,M00138,Withdrawal,11115.59,2025-07-02T20:35:50,,Branch
T0010946,ACC00306,M00306,Withdrawal,6927.31,2025-07-02T20:37:41,,Branch
T0006794,ACC00186,M00186,Deposit,32445.72,2025-07-02T20:38:19,,Branch
T0032740,ACC00926,M00926,Deposit,30236.79,2025-07-02T20:40:06,,Branch
T0004555,ACC00131,M00131,Withdrawal,9470.02,2025-07-02T20:47:18,,Branch
T0047871,ACC01337,M01337,Deposit,4622.13,2025-07-02T20:56:36,,Branch
T0002410,ACC00068,M00068,Deposit,1885.97,2025-07-02T21:17:28,,Branch
T0003966,ACC00111,M00111,Deposit,10566.04,2025-07-02T21:27:25,,Branch
T0052402,ACC01451,M01451,Deposit,12529.6,2025-07-02T21:36:15,,Branch
T0026825,ACC00746,M00746,Withdrawal,5215.29,2025-07-02T21:37:56,,Branch
T0048801,ACC01362,M01362,Deposit,2615.79,2025-07-02T21:50:12,,Branch
T0035142,ACC00991,M00991,Withdrawal,14605.17,2025-07-02T21:52:31,,Branch
T0013038,ACC00371,M00371,Withdrawal,1156.8,2025-07-02T21:55:40,,Branch
T0048198,ACC01344,M01344,Withdrawal,4133.91,2025-07-02T22:07:21,,Branch
T0038689,ACC01087,M01087,Deposit,13061.97,2025-07-02T22:15:30,,Branch
T0030923,ACC00861,M00861,Withdrawal,5684.18,2025-07-02T22:35:30,,Branch
T0024126,ACC00674,M00674,Deposit,9880.02,2025-07-02T22:40:27,,Branch
T0042196,ACC01178,M01178,Deposit,23997.47,2025-07-02T22:47:31,,Branch
T0053471,ACC01475,M01475,Deposit,1853.42,2025-07-02T22:48:50,,Branch
T0041423,ACC01155,M01155,Deposit,32295.84,2025-07-02T22:59:11,,Branch
T0016377,ACC00456,M00456,Withdrawal,23071.91,2025-07-02T23:05:48,,Branch
T0027908,ACC00776,M00776,Deposit,10861.06,2025-07-02T23:28:47,,Branch
T0002757,ACC00077,M00077,Withdrawal,1894.67,2025-07-02T23:45:07,,Branch
T0040758,ACC01138,M01138,Deposit,4468.1,2025-07-02T23:46:35,,Branch
T0012598,ACC00358,M00358,Withdrawal,5043.97,2025-07-02T23:57:11,,Branch
T0028714,ACC00799,M00799,Deposit,7330.11,2025-07-03T00:00:16,,Branch
T0046853,ACC01309,M01309,Deposit,22440.13,2025-07-03T00:06:33,,Branch
T0023087,ACC00646,M00646,Withdrawal,4665.81,2025-07-03T00:08:03,,Branch
T0017497,ACC00488,M00488,Deposit,1275.94,2025-07-03T00:23:09,,Branch
T0041493,ACC01156,M01156,Deposit,8289.32,2025-07-03T00:24:40,,Branch
T0005971,ACC00167,M00167,Withdrawal,17784.91,2025-07-03T00:26:06,,Branch
T0048197,ACC01344,M01344,Deposit,3202.85,2025-07-03T00:28:16,,Branch
T0020454,ACC00569,M00569,Deposit,27357.59,2025-07-03T01:03:16,,Branch
T0043734,ACC01220,M01220,Deposit,1590.14,2025-07-03T01:07:59,,Branch
T0016924,ACC00476,M00476,Deposit,20239.02,2025-07-03T01:12:53,,Branch
T0018988,ACC00530,M00530,Withdrawal,6827.45,2025-07-03T01:15:57,,Branch
T0005147,ACC00144,M00144,Deposit,8899.69,2025-07-03T01:30:16,,Branch
T0047549,ACC01328,M01328,Deposit,1812.42,2025-07-03T01:37:31,,Branch
T0016537,ACC00460,M00460,Withdrawal,17919.91,2025-07-03T01:43:00,,Branch
T0043390,ACC01209,M01209,Deposit,9523.84,2025-07-03T01:47:19,,Branch
T0043020,ACC01202,M01202,Deposit,7237.5,2025-07-03T01:47:40,,Branch
T0004193,ACC00117,M00117,Withdrawal,4895.26,2025-07-03T01:57:02,,Branch
T0003965,ACC00111,M00111,Deposit,8213.77,2025-07-03T02:07:10,,Branch
T0000938,ACC00029,M00029,Withdrawal,11018.3,2025-07-03T02:08:42,,Branch
T0021842,ACC00608,M00608,Withdrawal,1183.1,2025-07-03T02:12:50,,Branch
T0021257,ACC00587,M00587,Withdrawal,4114.28,2025-07-03T02:14:34,,Branch
T0020490,ACC00570,M00570,Withdrawal,6008.03,2025-07-03T02:18:05,,Branch
T0043317,ACC01207,M01207,Deposit,18930.94,2025-07-03T02:29:59,,Branch
T0023514,ACC00659,M00659,Deposit,31755.89,2025-07-03T03:28:33,,Branch
T0033663,ACC00952,M00952,Withdrawal,34116.24,2025-07-03T03:35:47,,Branch
T0048640,ACC01357,M01357,Deposit,17291.7,2025-07-03T03:38:02,,Branch
T0024879,ACC00694,M00694,Withdrawal,5492.75,2025-07-03T03:45:27,,Branch
T0003497,ACC00098,M00098,Deposit,3731.79,2025-07-03T03:46:36,,Branch
T0054340,ACC01497,M01497,Deposit,4248.22,2025-07-03T04:12:40,,Branch
T0008827,ACC00243,M00243,Withdrawal,3237.49,2025-07-03T04:13:15,,Branch
T0022054,ACC00617,M00617,Withdrawal,10966.35,2025-07-03T04:51:56,,Branch
T0001755,ACC00052,M00052,Deposit,15272.03,2025-07-03T04:59:40,,Branch
T0020609,ACC00573,M00573,Deposit,42371.31,2025-07-03T05:12:33,,Branch
T0015658,ACC00439,M00439,Deposit,5671.24,2025-07-03T05:12:54,,Branch
T0034745,ACC00982,M00982,Withdrawal,695.19,2025-07-03T05:17:53,,Branch
T0052197,ACC01444,M01444,Withdrawal,1110.64,2025-07-03T05:30:47,,Branch
T0041647,ACC01162,M01162,Deposit,2709.1,2025-07-03T05:41:46,,Branch
T0049729,ACC01384,M01384,Deposit,3915.85,2025-07-03T05:48:09,,Branch
T0045949,ACC01286,M01286,Withdrawal,13784.55,2025-07-03T05:57:37,,Branch
T0021486,ACC00592,M00592,Withdrawal,1433.78,2025-07-03T06:12:17,,Branch
T0021150,ACC00584,M00584,Deposit,3095.94,2025-07-03T06:19:58,,Branch
T0018120,ACC00503,M00503,Withdrawal,1540.44,2025-07-03T06:24:50,,Branch
T0034154,ACC00962,M00962,Withdrawal,13119.29,2025-07-03T06:35:08,,Branch
T0015624,ACC00438,M00438,Deposit,2784.53,2025-07-03T06:51:12,,Branch
T0025644,ACC00717,M00717,Withdrawal,2065.08,2025-07-03T07:08:53,,Branch
T0009988,ACC00275,M00275,Deposit,7088.8,2025-07-03T07:19:38,,Branch
T0040635,ACC01135,M01135,Deposit,3473.85,2025-07-03T07:25:07,,Branch
T0035496,ACC01003,M01003,Withdrawal,5232.01,2025-07-03T07:41:27,,Branch
T0038445,ACC01081,M01081,Deposit,4070.66,2025-07-03T07:47:12,,Branch
T0007564,ACC00206,M00206,Withdrawal,4625.67,2025-07-03T07:52:43,,Branch
