account_id,member_id,account_type,opened_date
ACC00234,M00234,Savings,2026-05-18
ACC00235,M00235,Savings,2025-03-20
ACC00236,M00236,Savings,2020-09-23
ACC00237,M00237,Savings,2025-12-27
ACC00238,M00238,Savings,2023-10-07
ACC00239,M00239,Savings,2024-06-12
ACC00240,M00240,Savings,2026-05-11
ACC00241,M00241,Savings,2025-10-16
ACC00242,M00242,Savings,2025-06-24
ACC00243,M00243,Savings,2022-04-07
ACC00244,M00244,Savings,2024-12-25
ACC00245,M00245,Savings,2025-08-04
ACC00246,M00246,Savings,2022-09-23
ACC00247,M00247,Savings,2025-07-17
ACC00248,M00248,Savings,2026-01-30
ACC00249,M00249,Savings,2020-02-03
ACC00250,M00250,Savings,2021-04-09
ACC00251,M00251,Savings,2022-09-21
ACC00252,M00252,Savings,2025-07-02
ACC00253,M00253,Savings,2025-01-21
ACC00254,M00254,Savings,2025-11-14
ACC00255,M00255,Savings,2025-01-15
ACC00256,M00256,Savings,2024-08-24
ACC00257,M00257,Savings,2021-09-01
ACC00258,M00258,Savings,2020-06-22
ACC00259,M00259,Savings,2019-07-30
ACC00260,M00260,Savings,2025-12-04
ACC00261,M00261,Savings,2024-09-20
ACC00262,M00262,Savings,2022-10-23
ACC00263,M00263,Savings,2026-04-18
ACC00264,M00264,Savings,2021-12-13
ACC00265,M00265,Savings,2023-07-23
ACC00266,M00266,Savings,2025-07-09
ACC00267,M00267,Savings,2026-01-15
ACC00268,M00268,Savings,2024-02-28
ACC00269,M00269,Savings,2019-07-15
ACC00270,M00270,Savings,2020-04-10
ACC00271,M00271,Savings,2024-03-19
ACC00272,M00272,Savings,2025-07-19
ACC00273,M00273,Savings,2020-12-05
ACC00274,M00274,Savings,2025-08-10
ACC00275,M00275,Savings,2022-08-05
ACC00276,M00276,Savings,2024-03-15
ACC00277,M00277,Savings,2020-08-19
ACC00278,M00278,Savings,2024-01-05
ACC00279,M00279,Savings,2022-02-16
ACC00280,M00280,Savings,2021-02-08
ACC00281,M00281,Savings,2021-06-19
ACC00282,M00282,Savings,2023-10-11
ACC00283,M00283,Savings,2025-07-14
ACC00284,M00284,Savings,2025-10-22
ACC00285,M00285,Savings,2021-10-12
ACC00286,M00286,Savings,2021-08-21
ACC00287,M00287,Savings,2026-02-02
ACC00288,M00288,Savings,2021-11-16
ACC00289,M00289,Savings,2021-10-17
ACC00290,M00290,Savings,2023-07-13
ACC00291,M00291,Savings,2024-10-07
ACC00292,M00292,Savings,2021-12-25
ACC00293,M00293,Savings,2022-10-24
ACC00294,M00294,Savings,2023-04-15
ACC00295,M00295,Savings,2023-06-14
ACC00296,M00296,Savings,2025-05-18
ACC00297,M00297,Savings,2022-02-04
ACC00298,M00298,Savings,2026-06-01
ACC00299,M00299,Savings,2019-09-09
ACC00300,M00300,Savings,2024-04-30
ACC00301,M00301,Savings,2025-05-28
ACC00302,M00302,Savings,2024-08-25
ACC00303,M00303,Savings,2019-11-09
ACC00304,M00304,Savings,2021-06-03
ACC00305,M00305,Savings,2025-06-04
ACC00306,M00306,Savings,2020-05-02
ACC00307,M00307,Savings,2023-01-11
ACC00308,M00308,Savings,2025-10-28
ACC00309,M00309,Savings,2021-01-26
ACC00310,M00310,Savings,2020-05-09
ACC00311,M00311,Savings,2022-07-26
ACC00312,M00312,Savings,2026-01-26
ACC00313,M00313,Savings,2021-03-25
ACC00314,M00314,Savings,2020-07-11
ACC00315,M00315,Savings,2021-08-08
ACC00316,M00316,Savings,2023-06-21
ACC00317,M00317,Savings,2024-02-21
ACC00318,M00318,Savings,2021-05-27
ACC00319,M00319,Savings,2021-05-17
ACC00320,M00320,Savings,2025-01-22
ACC00321,M00321,Savings,2023-03-24
ACC00322,M00322,Savings,2026-03-02
ACC00323,M00323,Savings,2023-12-20
ACC00324,M00324,Savings,2023-02-26
ACC00325,M00325,Savings,2021-09-28
ACC00326,M00326,Savings,2021-11-07
ACC00327,M00327,Savings,2021-01-23
ACC00328,M00328,Savings,2020-04-30
ACC00329,M00329,Savings,2024-03-11
ACC00330,M00330,Savings,2020-06-15
ACC00331,M00331,Savings,2019-12-31
ACC00332,M00332,Savings,2020-09-08
ACC00333,M00333,Savings,2025-12-14
ACC00334,M00334,Savings,2019-10-11
ACC00335,M00335,Savings,2021-02-02
ACC00336,M00336,Savings,2024-11-03
ACC00337,M00337,Savings,2020-10-16
ACC00338,M00338,Savings,2025-09-09
ACC00339,M00339,Savings,2021-08-04
ACC00340,M00340,Savings,2023-11-11
ACC00341,M00341,Savings,2025-07-10
ACC00342,M00342,Savings,2024-12-27
ACC00343,M00343,Savings,2020-10-12
ACC00344,M00344,Savings,2026-02-13
ACC00345,M00345,Savings,2023-09-09
ACC00346,M00346,Savings,2021-08-01
ACC00347,M00347,Savings,2022-09-28
ACC00348,M00348,Savings,2021-01-12
ACC00349,M00349,Savings,2024-02-29
ACC00350,M00350,Savings,2022-08-01
ACC00351,M00351,Savings,2025-01-20
ACC00352,M00352,Savings,2025-07-31
ACC00353,M00353,Savings,2022-04-11
ACC00354,M00354,Savings,2020-06-23
ACC00355,M00355,Savings,2026-02-04
ACC00356,M00356,Savings,2021-10-26
ACC00357,M00357,Savings,2021-05-22
ACC00358,M00358,Savings,2020-07-27
ACC00359,M00359,Savings,2020-12-03
ACC00360,M00360,Savings,2025-12-23
ACC00361,M00361,Savings,2020-07-18
ACC00362,M00362,Savings,2026-01-10
ACC00363,M00363,Savings,2023-07-09
ACC00364,M00364,Savings,2023-02-14
ACC00365,M00365,Savings,2020-01-17
ACC00366,M00366,Savings,2021-04-10
ACC00367,M00367,Savings,2022-07-29
ACC00368,M00368,Savings,2021-05-10
ACC00369,M00369,Savings,2020-07-26
ACC00370,M00370,Savings,2024-06-28
ACC00371,M00371,Savings,2024-11-09
ACC00372,M00372,Savings,2022-11-09
ACC00373,M00373,Savings,2020-04-08
ACC00374,M00374,Savings,2021-11-21
ACC00375,M00375,Savings,2020-08-17
ACC00376,M00376,Savings,2021-01-25
ACC00377,M00377,Savings,2026-04-25
ACC00378,M00378,Savings,2025-03-20
ACC00379,M00379,Savings,2020-10-06
ACC00380,M00380,Savings,2023-01-19
ACC00381,M00381,Savings,2021-06-09
ACC00382,M00382,Savings,2022-06-10
ACC00383,M00383,Savings,2025-02-13
ACC00384,M00384,Savings,2022-08-12
ACC00385,M00385,Savings,2023-11-19
ACC00386,M00386,Savings,2022-03-06
ACC00387,M00387,Savings,2020-02-13
ACC00388,M00388,Savings,2021-01-15
ACC00389,M00389,Savings,2020-12-03
ACC00390,M00390,Savings,2022-07-21
ACC00391,M00391,Savings,2023-07-17
ACC00392,M00392,Savings,2020-08-27
ACC00393,M00393,Savings,2019-08-22
ACC00394,M00394,Savings,2019-11-24
ACC00395,M00395,Savings,2024-03-02
ACC00396,M00396,Savings,2020-02-03
ACC00397,M00397,Savings,2022-09-01
ACC00398,M00398,Savings,2025-10-28
ACC00399,M00399,Savings,2021-09-10
ACC00400,M00400,Savings,2025-07-29
ACC00401,M00401,Savings,2023-09-21
ACC00402,M00402,Savings,2022-08-22
ACC00403,M00403,Savings,2023-09-05
ACC00404,M00404,Savings,2023-12-04
ACC00405,M00405,Savings,2023-01-13
ACC00406,M00406,Savings,2020-05-03
ACC00407,M00407,Savings,2024-07-17
ACC00408,M00408,Savings,2024-09-11
ACC00409,M00409,Savings,2023-03-06
ACC00410,M00410,Savings,2022-11-08
ACC00411,M00411,Savings,2025-09-02
ACC00412,M00412,Savings,2021-12-29
ACC00413,M00413,Savings,2020-05-05
ACC00414,M00414,Savings,2023-03-22
ACC00415,M00415,Savings,2023-12-06
ACC00416,M00416,Savings,2021-08-07
ACC00417,M00417,Savings,2022-04-04
ACC00418,M00418,Savings,2022-08-21
ACC00419,M00419,Savings,2025-08-06
ACC00420,M00420,Savings,2024-12-08
ACC00421,M00421,Savings,2023-01-29
ACC00422,M00422,Savings,2025-06-09
ACC00423,M00423,Savings,2022-06-28
ACC00424,M00424,Savings,2023-11-09
ACC00425,M00425,Savings,2023-07-11
ACC00426,M00426,Savings,2021-08-12
ACC00427,M00427,Savings,2026-04-01
ACC00428,M00428,Savings,2020-12-18
ACC00429,M00429,Savings,2026-01-29
ACC00430,M00430,Savings,2023-12-09
ACC00431,M00431,Savings,2024-12-18
ACC00432,M00432,Savings,2021-06-20
ACC00433,M00433,Savings,2025-12-04
ACC00434,M00434,Savings,2026-05-11
ACC00435,M00435,Savings,2020-05-16
ACC00436,M00436,Savings,2023-04-08
ACC00437,M00437,Savings,2020-09-17
ACC00438,M00438,Savings,2025-01-11
ACC00439,M00439,Savings,2022-01-11
ACC00440,M00440,Savings,2022-06-06
ACC00441,M00441,Savings,2025-08-20
ACC00442,M00442,Savings,2021-05-08
ACC00443,M00443,Savings,2024-02-03
ACC00444,M00444,Savings,2022-03-01
ACC00445,M00445,Savings,2019-07-18
ACC00446,M00446,Savings,2021-10-27
ACC00447,M00447,Savings,2024-10-12
ACC00448,M00448,Savings,2023-10-12
ACC00449,M00449,Savings,2022-07-07
ACC00450,M00450,Savings,2025-07-28
ACC00451,M00451,Savings,2025-05-12
ACC00452,M00452,Savings,2024-11-03
ACC00453,M00453,Savings,2025-04-18
ACC00454,M00454,Savings,2021-11-16
ACC00455,M00455,Savings,2021-02-27
ACC00456,M00456,Savings,2023-12-16
ACC00457,M00457,Savings,2026-02-02
ACC00458,M00458,Savings,2026-01-13
ACC00459,M00459,Savings,2023-05-11
ACC00460,M00460,Savings,2021-06-07
ACC00461,M00461,Savings,2023-03-21
ACC00462,M00462,Savings,2022-11-25
ACC00463,M00463,Savings,2024-06-20
ACC00464,M00464,Savings,2024-01-25
ACC00465,M00465,Savings,2020-03-27
ACC00466,M00466,Savings,2021-08-30
ACC00467,M00467,Savings,2021-09-25
ACC00468,M00468,Savings,2019-11-05
ACC00469,M00469,Savings,2023-06-04
ACC00470,M00470,Savings,2020-01-22
ACC00471,M00471,Savings,2021-10-26
ACC00472,M00472,Savings,2021-06-11
ACC00473,M00473,Savings,2023-09-22
ACC00474,M00474,Savings,2023-12-15
ACC00475,M00475,Savings,2026-05-01
ACC00476,M00476,Savings,2023-02-23
ACC00477,M00477,Savings,2022-03-13
ACC00478,M00478,Savings,2021-01-26
ACC00479,M00479,Savings,2019-11-24
ACC00480,M00480,Savings,2021-12-29
ACC00481,M00481,Savings,2021-05-29
ACC00482,M00482,Savings,2022-05-27
ACC00483,M00483,Savings,2023-06-27
ACC00484,M00484,Savings,2022-10-19
ACC00485,M00485,Savings,2024-10-18
ACC00486,M00486,Savings,2020-02-09
ACC00487,M00487,Savings,2024-08-19
ACC00488,M00488,Savings,2021-06-26
ACC00489,M00489,Savings,2021-05-23
ACC00490,M00490,Savings,2024-04-25
ACC00491,M00491,Savings,2023-09-08
ACC00492,M00492,Savings,2019-07-19
ACC00493,M00493,Savings,2023-10-21
ACC00494,M00494,Savings,2025-05-03
ACC00495,M00495,Savings,2023-07-13
ACC00496,M00496,Savings,2020-12-21
ACC00497,M00497,Savings,2019-12-03
ACC00498,M00498,Savings,2020-01-15
ACC00499,M00499,Savings,2020-11-20
ACC00500,M00500,Savings,2024-03-21
ACC00501,M00501,Savings,2020-09-04
ACC00502,M00502,Savings,2026-05-01
ACC00503,M00503,Savings,2022-10-24
ACC00504,M00504,Savings,2019-07-14
ACC00505,M00505,Savings,2020-07-05
ACC00506,M00506,Savings,2022-10-27
ACC00507,M00507,Savings,2023-07-17
ACC00508,M00508,Savings,2021-05-31
ACC00509,M00509,Savings,2023-05-06
ACC00510,M00510,Savings,2024-11-11
ACC00511,M00511,Savings,2020-02-28
ACC00512,M00512,Savings,2021-07-14
ACC00513,M00513,Savings,2024-12-22
ACC00514,M00514,Savings,2019-08-22
ACC00515,M00515,Savings,2023-04-18
ACC00516,M00516,Savings,2022-04-16
ACC00517,M00517,Savings,2025-10-05
ACC00518,M00518,Savings,2025-01-22
ACC00519,M00519,Savings,2025-03-09
ACC00520,M00520,Savings,2025-12-05
ACC00521,M00521,Savings,2019-09-13
ACC00522,M00522,Savings,2026-04-11
ACC00523,M00523,Savings,2024-08-13
ACC00524,M00524,Savings,2026-03-25
ACC00525,M00525,Savings,2021-12-27
ACC00526,M00526,Savings,2020-09-10
ACC00527,M00527,Savings,2021-09-12
ACC00528,M00528,Savings,2021-08-21
ACC00529,M00529,Savings,2024-07-21
ACC00530,M00530,Savings,2020-01-17
ACC00531,M00531,Savings,2021-06-27
ACC00532,M00532,Savings,2026-04-19
ACC00533,M00533,Savings,2022-10-19
ACC00534,M00534,Savings,2025-08-23
ACC00535,M00535,Savings,2022-10-05
ACC00536,M00536,Savings,2023-02-12
ACC00537,M00537,Savings,2024-03-07
ACC00538,M00538,Savings,2023-10-10
ACC00539,M00539,Savings,2022-04-24
ACC00540,M00540,Savings,2019-11-12
ACC00541,M00541,Savings,2025-10-17
ACC00542,M00542,Savings,2023-10-12
ACC00543,M00543,Savings,2022-04-27
ACC00544,M00544,Savings,2023-08-17
ACC00545,M00545,Savings,2020-05-03
ACC00546,M00546,Savings,2022-08-19
ACC00547,M00547,Savings,2021-03-28
ACC00548,M00548,Savings,2022-11-17
ACC00549,M00549,Savings,2021-07-25
ACC00550,M00550,Savings,2020-07-13
ACC00551,M00551,Savings,2021-12-13
ACC00552,M00552,Savings,2024-07-01
ACC00553,M00553,Savings,2023-02-06
ACC00554,M00554,Savings,2019-10-12
ACC00555,M00555,Savings,2022-10-29
ACC00556,M00556,Savings,2025-06-25
ACC00557,M00557,Savings,2021-10-22
ACC00558,M00558,Savings,2021-03-23
ACC00559,M00559,Savings,2022-04-29
ACC00560,M00560,Savings,2024-01-14
ACC00561,M00561,Savings,2020-03-18
ACC00562,M00562,Savings,2022-11-18
ACC00563,M00563,Savings,2019-11-06
ACC00564,M00564,Savings,2021-02-12
ACC00565,M00565,Savings,2025-09-22
ACC00566,M00566,Savings,2022-12-02
ACC00567,M00567,Savings,2025-04-01
ACC00568,M00568,Savings,2025-11-11
ACC00569,M00569,Savings,2022-10-05
ACC00570,M00570,Savings,2020-12-09
ACC00571,M00571,Savings,2024-07-21
ACC00572,M00572,Savings,2023-08-03
ACC00573,M00573,Savings,2024-05-23
ACC00574,M00574,Savings,2023-07-11
ACC00575,M00575,Savings,2021-01-26
ACC00576,M00576,Savings,2025-03-10
ACC00577,M00577,Savings,2019-11-30
ACC00578,M00578,Savings,2023-08-09
ACC00579,M00579,Savings,2025-03-23
ACC00580,M00580,Savings,2025-04-07
ACC00581,M00581,Savings,2024-12-03
ACC00582,M00582,Savings,2022-02-15
ACC00583,M00583,Savings,2024-08-07
ACC00584,M00584,Savings,2022-07-27
ACC00585,M00585,Savings,2026-02-03
ACC00586,M00586,Savings,2025-04-17
ACC00587,M00587,Savings,2019-07-30
ACC00588,M00588,Savings,2022-08-26
ACC00589,M00589,Savings,2023-03-16
ACC00590,M00590,Savings,2024-02-10
ACC00591,M00591,Savings,2025-04-01
ACC00592,M00592,Savings,2025-04-18
ACC00593,M00593,Savings,2020-06-18
ACC00594,M00594,Savings,2024-02-09
ACC00595,M00595,Savings,2022-06-20
ACC00596,M00596,Savings,2022-01-29
ACC00597,M00597,Savings,2025-02-26
ACC00598,M00598,Savings,2026-03-24
ACC00599,M00599,Savings,2020-12-17
ACC00600,M00600,Savings,2019-12-27
ACC00601,M00601,Savings,2025-12-17
ACC00602,M00602,Savings,2025-08-07
ACC00603,M00603,Savings,2025-04-30
ACC00604,M00604,Savings,2021-03-27
ACC00605,M00605,Savings,2026-05-13
ACC00606,M00606,Savings,2025-10-02
ACC00607,M00607,Savings,2023-05-13
ACC00608,M00608,Savings,2021-04-25
ACC00609,M00609,Savings,2020-02-01
ACC00610,M00610,Savings,2026-03-26
ACC00611,M00611,Savings,2023-10-24
ACC00612,M00612,Savings,2024-06-04
ACC00613,M00613,Savings,2026-03-23
ACC00614,M00614,Savings,2019-07-04
ACC00615,M00615,Savings,2024-01-18
ACC00616,M00616,Savings,2025-10-09
ACC00617,M00617,Savings,2024-01-12
ACC00618,M00618,Savings,2025-02-21
ACC00619,M00619,Savings,2025-12-12
ACC00620,M00620,Savings,2024-08-24
ACC00621,M00621,Savings,2023-10-17
ACC00622,M00622,Savings,2025-04-17
ACC00623,M00623,Savings,2023-05-03
ACC00624,M00624,Savings,2025-12-07
ACC00625,M00625,Savings,2022-02-18
ACC00626,M00626,Savings,2023-06-30
ACC00627,M00627,Savings,2019-07-30
ACC00628,M00628,Savings,2025-12-11
ACC00629,M00629,Savings,2025-12-20
ACC00630,M00630,Savings,2023-05-25
ACC00631,M00631,Savings,2024-08-29
ACC00632,M00632,Savings,2023-02-24
ACC00633,M00633,Savings,2024-10-14
ACC00634,M00634,Savings,2023-09-04
ACC00635,M00635,Savings,2022-01-24
ACC00636,M00636,Savings,2021-09-13
ACC00637,M00637,Savings,2025-02-07
ACC00638,M00638,Savings,2024-12-16
ACC00639,M00639,Savings,2021-05-02
ACC00640,M00640,Savings,2022-06-01
ACC00641,M00641,Savings,2020-11-10
ACC00642,M00642,Savings,2025-07-16
ACC00643,M00643,Savings,2024-07-06
ACC00644,M00644,Savings,2023-04-14
ACC00645,M00645,Savings,2022-01-22
ACC00646,M00646,Savings,2022-07-18
ACC00647,M00647,Savings,2021-05-18
ACC00648,M00648,Savings,2020-05-25
ACC00649,M00649,Savings,2019-10-18
ACC00650,M00650,Savings,2023-11-15
ACC00651,M00651,Savings,2025-05-29
ACC00652,M00652,Savings,2025-07-25
ACC00653,M00653,Savings,2024-08-15
ACC00654,M00654,Savings,2025-06-27
ACC00655,M00655,Savings,2023-08-09
ACC00656,M00656,Savings,2021-01-11
ACC00657,M00657,Savings,2024-04-30
ACC00658,M00658,Savings,2025-10-15
ACC00659,M00659,Savings,2020-05-22
ACC00660,M00660,Savings,2025-06-19
ACC00661,M00661,Savings,2024-08-10
ACC00662,M00662,Savings,2021-03-17
ACC00663,M00663,Savings,2024-06-01
ACC00664,M00664,Savings,2022-12-30
ACC00665,M00665,Savings,2021-02-20
