loan_id,member_id,amount,term_months,interest_rate,approved_by,approval_timestamp,disbursement_timestamp,status
L00042,M01493,219100.0,6,12.0,EMP0028,2026-02-04T09:42:33,2026-02-04T09:42:33,Active
L00043,M01350,267800.0,18,12.0,EMP0032,2025-09-09T16:50:30,2025-09-09T16:50:30,Active
L00044,M00408,269800.0,12,12.0,EMP0009,2025-12-26T09:17:05,2025-12-29T09:17:05,Active
L00045,M01124,75500.0,12,12.0,EMP0027,2025-09-29T13:23:36,2025-10-01T13:23:36,Active
L00046,M00033,12300.0,12,12.0,EMP0010,2025-08-27T09:34:28,2025-08-30T09:34:28,Active
L00047,M01390,120700.0,6,12.0,EMP0020,2026-03-13T13:18:49,2026-03-14T13:18:49,Active
L00048,M00908,129400.0,18,12.0,EMP0045,2026-04-27T15:17:23,2026-04-30T15:17:23,Active
L00049,M00808,143200.0,36,12.0,EMP0040,2026-01-13T16:37:24,2026-01-14T16:37:24,Active
L00050,M00986,198700.0,12,12.0,EMP0022,2025-09-23T08:03:49,2025-09-23T08:03:49,Active
L00051,M01443,57400.0,18,12.0,EMP0027,2025-10-29T16:43:25,2025-10-30T16:43:25,Active
L00052,M00084,35900.0,18,12.0,EMP0001,2026-03-03T08:35:56,2026-03-03T08:35:56,Active
L00053,M00230,270400.0,18,12.0,EMP0019,2025-10-21T15:32:28,2025-10-21T15:32:28,Active
L00054,M00866,271700.0,18,12.0,EMP0018,2025-07-24T14:57:16,2025-07-25T14:57:16,Active
L00055,M00995,165200.0,36,12.0,EMP0018,2026-01-12T12:09:39,2026-01-13T12:09:39,Active
L00056,M00254,232300.0,36,12.0,EMP0037,2026-02-17T13:45:30,2026-02-17T13:45:30,Active
L00057,M00054,101400.0,18,12.0,EMP0006,2026-02-18T09:12:27,2026-02-19T09:12:27,Active
L00058,M00099,267900.0,36,12.0,EMP0032,2025-11-24T12:49:30,2025-11-24T12:49:30,Active
L00059,M00977,157700.0,36,12.0,EMP0033,2025-08-19T08:32:33,2025-08-20T08:32:33,Active
L00060,M00098,28900.0,12,12.0,EMP0042,2026-05-11T08:47:59,2026-05-12T08:47:59,Active
L00061,M01351,291000.0,6,12.0,EMP0020,2025-07-08T08:06:19,2025-07-08T08:06:19,Active
L00062,M01219,128900.0,12,12.0,EMP0006,2025-07-30T11:07:07,2025-08-02T11:07:07,Active
L00063,M00751,215100.0,12,12.0,EMP0042,2025-09-11T14:58:31,2025-09-12T14:58:31,Active
L00064,M00634,11400.0,12,12.0,EMP0037,2025-08-21T11:46:48,2025-08-22T11:46:48,Active
L00065,M00409,247300.0,36,12.0,EMP0010,2025-09-26T08:02:40,2025-09-28T08:02:40,Active
L00066,M01057,77400.0,18,12.0,EMP0028,2026-02-19T15:07:27,2026-02-20T15:07:27,Active
L00067,M00332,240900.0,24,12.0,EMP0020,2025-11-10T16:32:49,2025-11-11T16:32:49,Active
L00068,M01092,31800.0,18,12.0,EMP0022,2025-11-28T08:00:06,2025-11-29T08:00:06,Active
L00069,M00741,253900.0,24,12.0,EMP0033,2025-10-21T11:33:55,2025-10-24T11:33:55,Active
L00070,M01199,267000.0,6,12.0,EMP0010,2026-01-09T09:17:39,2026-01-10T09:17:39,Active
L00071,M00596,254400.0,12,12.0,EMP0041,2026-04-10T10:08:53,2026-04-10T10:08:53,Active
L00072,M00199,26100.0,12,12.0,EMP0024,2026-03-26T13:33:36,2026-03-27T13:33:36,Active
L00073,M00380,169800.0,36,12.0,EMP0046,2025-09-19T12:25:58,2025-09-22T12:25:58,Active
L00074,M00367,185700.0,6,12.0,EMP0009,2025-11-21T11:11:37,2025-11-22T11:11:37,Active
L00075,M00939,89200.0,12,12.0,EMP0028,2026-03-13T10:59:47,2026-03-16T10:59:47,Active
L00076,M00073,122700.0,6,12.0,EMP0025,2026-05-14T13:36:19,2026-05-17T13:36:19,Active
L00077,M01175,168000.0,36,12.0,EMP0023,2026-05-14T08:26:04,2026-05-14T08:26:04,Active
L00078,M00717,148700.0,12,12.0,EMP0034,2026-03-23T16:00:20,2026-03-23T16:00:20,Active
L00079,M01488,122800.0,24,12.0,EMP0007,2025-12-10T12:46:40,2025-12-10T12:46:40,Active
L00080,M00932,272000.0,6,12.0,EMP0036,2026-02-27T11:07:22,2026-03-02T11:07:22,Active
L00081,M01102,263000.0,6,12.0,EMP0001,2025-10-03T10:27:40,2025-10-04T10:27:40,Active
L00082,M00897,166800.0,18,12.0,EMP0045,2026-01-29T11:10:50,2026-02-01T11:10:50,Active
L00083,M00399,30800.0,18,12.0,EMP0041,2026-01-28T11:39:16,2026-01-30T11:39:16,Active
L00084,M00524,242500.0,6,12.0,EMP0028,2026-05-15T09:45:00,2026-05-17T09:45:00,Active
L00085,M00801,202500.0,18,12.0,EMP0042,2025-07-23T16:30:50,2025-07-24T16:30:50,Active
L00086,M01297,112400.0,36,12.0,EMP0020,2026-05-14T13:55:45,2026-05-17T13:55:45,Active
L00087,M00746,261800.0,12,12.0,EMP0025,2026-04-23T16:17:10,2026-04-26T16:17:10,Active
L00088,M00721,195000.0,24,12.0,EMP0043,2025-10-22T15:48:48,2025-10-22T15:48:48,Active
L00089,M00641,106600.0,12,12.0,EMP0022,2025-11-17T09:12:39,2025-11-20T09:12:39,Active
L00090,M00590,85400.0,6,12.0,EMP0034,2026-01-02T14:38:45,2026-01-04T14:38:45,Active
L00091,M00454,274500.0,18,12.0,EMP0006,2025-09-11T16:47:29,2025-09-12T16:47:29,Active
L00092,M00574,74400.0,36,12.0,EMP0024,2026-03-26T14:01:17,2026-03-27T14:01:17,Active
L00093,M00183,100800.0,6,12.0,EMP0001,2025-11-12T15:00:23,2025-11-13T15:00:23,Active
L00094,M00736,34100.0,6,12.0,EMP0033,2025-12-01T09:38:46,2025-12-03T09:38:46,Active
L00095,M00237,60000.0,24,12.0,EMP0037,2026-04-27T11:49:43,2026-04-29T11:49:43,Active
L00096,M00749,221400.0,6,12.0,EMP0023,2026-04-09T10:33:47,2026-04-12T10:33:47,Active
L00097,M01019,129600.0,24,12.0,EMP0010,2026-05-05T16:54:47,2026-05-07T16:54:47,Active
L00098,M01178,248800.0,6,12.0,EMP0001,2026-03-23T09:09:45,2026-03-24T09:09:45,Active
L00099,M00515,293000.0,12,12.0,EMP0043,2025-07-10T09:25:35,2025-07-10T09:25:35,Active
L00100,M00398,138700.0,12,12.0,EMP0018,2025-11-28T13:27:39,2025-11-30T13:27:39,Active
L00101,M01034,121400.0,12,12.0,EMP0007,2025-11-25T13:30:46,2025-11-25T13:30:46,Active
L00102,M01190,43000.0,18,12.0,EMP0018,2025-10-17T09:23:38,2025-10-17T09:23:38,Active
L00103,M00492,71000.0,24,12.0,EMP0034,2026-04-23T10:10:48,2026-04-26T10:10:48,Active
L00104,M01089,165200.0,36,12.0,EMP0001,2025-07-10T15:34:06,2025-07-13T15:34:06,Active
L00105,M00847,287000.0,12,12.0,EMP0033,2026-04-09T12:24:26,2026-04-09T12:24:26,Active
L00106,M01411,61400.0,24,12.0,EMP0045,2025-09-04T09:53:21,2025-09-04T09:53:21,Active
L00107,M00800,107600.0,6,12.0,EMP0010,2026-01-16T11:39:54,2026-01-16T11:39:54,Active
L00108,M00659,37500.0,18,12.0,EMP0022,2025-08-28T12:36:33,2025-08-28T12:36:33,Active
L00109,M00262,176600.0,6,12.0,EMP0046,2025-09-05T09:13:29,2025-09-08T09:13:29,Active
L00110,M00577,14500.0,6,12.0,EMP0046,2025-09-19T15:59:03,2025-09-22T15:59:03,Active
L00111,M01101,96000.0,36,12.0,EMP0028,2025-07-21T15:36:03,2025-07-22T15:36:03,Active
L00112,M00929,98300.0,24,12.0,EMP0042,2026-04-14T11:41:00,2026-04-14T11:41:00,Active
L00113,M00112,266200.0,18,12.0,EMP0019,2025-08-12T12:52:17,2025-08-12T12:52:17,Active
L00114,M00391,98700.0,36,12.0,EMP0028,2025-08-15T15:38:17,2025-08-17T15:38:17,Active
L00115,M01267,174400.0,24,12.0,EMP0041,2026-04-07T13:28:09,2026-04-10T13:28:09,Active
L00116,M00658,20800.0,36,12.0,EMP0020,2026-04-24T12:14:33,2026-04-25T12:14:33,Active
L00117,M00544,296600.0,12,12.0,EMP0034,2025-12-16T16:11:22,2025-12-19T16:11:22,Active
L00118,M01348,180300.0,24,12.0,EMP0046,2026-02-04T15:38:46,2026-02-04T15:38:46,Active
L00119,M00382,267100.0,18,12.0,EMP0001,2025-11-05T10:23:01,2025-11-06T10:23:01,Active
L00120,M01410,181800.0,6,12.0,EMP0022,2026-04-17T11:03:59,2026-04-19T11:03:59,Active
L00121,M01127,113300.0,36,12.0,EMP0046,2025-11-04T16:50:12,2025-11-05T16:50:12,Active
L00122,M00309,217800.0,12,12.0,EMP0040,2025-09-09T14:42:45,2025-09-10T14:42:45,Active
L00123,M00350,130400.0,24,12.0,EMP0001,2025-09-16T08:25:25,2025-09-17T08:25:25,Active
L00124,M00188,132100.0,12,12.0,EMP0010,2026-04-20T12:11:40,2026-04-22T12:11:40,Active
L00125,M01022,127600.0,18,12.0,EMP0033,2026-04-22T12:40:50,2026-04-25T12:40:50,Active
L00126,M00270,249300.0,18,12.0,EMP0001,2026-04-23T08:50:57,2026-04-23T08:50:57,Active
L00127,M00143,122800.0,12,12.0,EMP0020,2026-04-01T08:18:25,2026-04-02T08:18:25,Active
L00128,M01091,149000.0,12,12.0,EMP0001,2026-05-14T14:26:21,2026-05-15T14:26:21,Active
L00129,M00413,87600.0,36,12.0,EMP0020,2026-04-07T09:20:35,2026-04-10T09:20:35,Active
L00130,M01229,38300.0,24,12.0,EMP0032,2026-01-15T14:27:08,2026-01-15T14:27:08,Active
L00131,M00776,26000.0,24,12.0,EMP0010,2025-12-25T15:09:02,2025-12-28T15:09:02,Active
L00132,M00022,166900.0,6,12.0,EMP0028,2025-09-26T08:12:07,2025-09-28T08:12:07,Active
L00133,M01230,240700.0,18,12.0,EMP0009,2026-04-02T12:08:24,2026-04-02T12:08:24,Active
L00134,M01097,45500.0,12,12.0,EMP0022,2026-01-15T11:51:35,2026-01-18T11:51:35,Active
L00135,M00959,293500.0,6,12.0,EMP0024,2025-07-30T09:21:26,2025-07-31T09:21:26,Active
L00136,M01041,254800.0,24,12.0,EMP0001,2026-01-02T15:27:33,2026-01-03T15:27:33,Active
L00137,M00421,269100.0,6,12.0,EMP0001,2026-05-20T11:48:14,2026-05-21T11:48:14,Active
L00138,M00825,143200.0,18,12.0,EMP0042,2026-03-13T16:38:11,2026-03-13T16:38:11,Active
L00139,M01131,195800.0,12,12.0,EMP0018,2026-02-04T09:23:12,2026-02-04T09:23:12,Active
L00140,M00405,33700.0,36,12.0,EMP0009,2025-10-13T16:51:26,2025-10-15T16:51:26,Active
L00141,M00442,94500.0,24,12.0,EMP0034,2025-11-03T16:32:43,2025-11-03T16:32:43,Active
L00142,M00632,146600.0,18,12.0,EMP0023,2026-03-18T12:55:10,2026-03-18T12:55:10,Active
L00143,M01087,197900.0,36,12.0,EMP0041,2026-01-07T16:08:56,2026-01-09T16:08:56,Active
L00144,M00674,161900.0,6,12.0,EMP0042,2026-04-17T08:02:51,2026-04-19T08:02:51,Active
L00145,M00083,104600.0,6,12.0,EMP0027,2026-01-23T14:51:13,2026-01-25T14:51:13,Active
L00146,M00122,41500.0,12,12.0,EMP0001,2025-07-02T14:18:29,2025-07-04T14:18:29,Active
L00147,M00105,276600.0,24,12.0,EMP0018,2026-04-16T16:12:44,2026-04-19T16:12:44,Active
L00148,M00554,65900.0,36,12.0,EMP0019,2026-05-07T14:24:39,2026-05-07T14:24:39,Active
L00149,M01048,107000.0,18,12.0,EMP0010,2025-08-08T09:15:56,2025-08-10T09:15:56,Active
L00150,M00435,151500.0,18,12.0,EMP0036,2025-10-01T11:43:16,2025-10-04T11:43:16,Active
L00151,M01308,237600.0,36,12.0,EMP0024,2025-08-05T16:24:49,2025-08-08T16:24:49,Active
L00152,M00701,124800.0,36,12.0,EMP0041,2025-09-01T11:59:36,2025-09-04T11:59:36,Active
L00153,M00050,193700.0,24,12.0,EMP0046,2026-05-14T12:27:26,2026-05-15T12:27:26,Active
L00154,M00679,97200.0,24,12.0,EMP0041,2026-04-21T12:52:37,2026-04-21T12:52:37,Active
L00155,M00757,36100.0,6,12.0,EMP0037,2026-05-08T16:01:11,2026-05-09T16:01:11,Active
L00156,M01155,140800.0,12,12.0,EMP0045,2025-07-02T16:18:36,2025-07-03T16:18:36,Active
L00157,M00490,196600.0,36,12.0,EMP0023,2025-08-12T09:21:23,2025-08-14T09:21:23,Active
L00158,M00848,217500.0,36,12.0,EMP0041,2026-05-29T15:31:08,2026-05-31T15:31:08,Active
L00159,M00537,298000.0,36,12.0,EMP0036,2026-02-09T12:23:19,2026-02-09T12:23:19,Active
L00160,M00665,242000.0,6,12.0,EMP0042,2026-01-29T08:35:53,2026-01-29T08:35:53,Active
L00161,M01477,27100.0,12,12.0,EMP0019,2025-07-29T12:26:55,2025-08-01T12:26:55,Active
L00162,M00102,153500.0,12,12.0,EMP0032,2025-08-26T14:57:33,2025-08-29T14:57:33,Active
L00163,M00264,14800.0,6,12.0,EMP0034,2025-11-12T10:00:25,2025-11-13T10:00:25,Active
L00164,M01260,171700.0,24,12.0,EMP0040,2025-09-18T15:42:56,2025-09-18T15:42:56,Active
L00165,M01445,24700.0,24,12.0,EMP0028,2026-04-20T08:23:26,2026-04-20T08:23:26,Active
L00166,M01450,179600.0,36,12.0,EMP0032,2026-04-27T08:40:59,2026-04-30T08:40:59,Active
L00167,M01160,219900.0,18,12.0,EMP0023,2026-02-27T14:29:48,2026-02-27T14:29:48,Active
L00168,M00662,100300.0,36,12.0,EMP0001,2025-12-11T13:15:52,2025-12-13T13:15:52,Active
L00169,M01420,43000.0,36,12.0,EMP0027,2026-01-23T14:27:26,2026-01-25T14:27:26,Active
L00170,M00329,290300.0,24,12.0,EMP0045,2025-09-25T12:22:23,2025-09-28T12:22:23,Active
L00171,M00078,180900.0,12,12.0,EMP0033,2026-02-02T16:06:50,2026-02-05T16:06:50,Active
L00172,M00501,297900.0,6,12.0,EMP0045,2025-08-29T16:21:39,2025-08-29T16:21:39,Active
L00173,M00088,221400.0,12,12.0,EMP0034,2026-02-13T11:50:33,2026-02-15T11:50:33,Active
L00174,M00835,278100.0,24,12.0,EMP0010,2026-04-15T08:55:41,2026-04-17T08:55:41,Active
L00175,M01292,257000.0,36,12.0,EMP0028,2026-01-23T11:41:28,2026-01-25T11:41:28,Active
L00176,M00272,142200.0,12,12.0,EMP0034,2026-03-31T13:33:02,2026-04-03T13:33:02,Active
L00177,M00031,187200.0,6,12.0,EMP0037,2025-11-04T11:30:40,2025-11-07T11:30:40,Active
L00178,M01328,246800.0,6,12.0,EMP0043,2026-03-10T15:52:35,2026-03-11T15:52:35,Active
L00179,M01316,91400.0,6,12.0,EMP0041,2026-01-01T13:16:04,2026-01-02T13:16:04,Active
L00180,M00307,136000.0,36,12.0,EMP0042,2025-12-05T11:01:15,2025-12-08T11:01:15,Active
L00181,M00698,150900.0,24,12.0,EMP0023,2025-08-19T15:26:17,2025-08-21T15:26:17,Active
L00182,M00976,17400.0,36,12.0,EMP0045,2026-03-30T12:53:36,2026-04-01T12:53:36,Active
L00183,M00464,33100.0,12,12.0,EMP0010,2025-07-01T16:59:32,2025-07-01T16:59:32,Active
L00184,M00328,153700.0,6,12.0,EMP0023,2026-01-20T13:20:01,2026-01-21T13:20:01,Active
L00185,M01170,284600.0,6,12.0,EMP0033,2026-05-13T11:56:58,2026-05-14T11:56:58,Active
L00186,M00242,239100.0,36,12.0,EMP0024,2025-10-29T12:04:29,2025-10-31T12:04:29,Active
L00187,M00337,234500.0,24,12.0,EMP0001,2026-01-22T10:54:55,2026-01-23T10:54:55,Active
L00188,M01385,252100.0,36,12.0,EMP0033,2025-10-27T12:14:04,2025-10-30T12:14:04,Active
L00189,M00878,16600.0,12,12.0,EMP0041,2025-09-25T11:24:21,2025-09-25T11:24:21,Active
L00190,M00315,222700.0,36,12.0,EMP0046,2026-02-16T09:24:24,2026-02-17T09:24:24,Active
L00191,M01176,257700.0,18,12.0,EMP0043,2026-01-09T08:50:52,2026-01-12T08:50:52,Active
L00192,M01060,112100.0,36,12.0,EMP0006,2025-07-01T09:37:05,2025-07-03T09:37:05,Active
L00193,M00813,156900.0,6,12.0,EMP0032,2026-05-22T12:37:26,2026-05-23T12:37:26,Active
L00194,M01425,130300.0,24,12.0,EMP0027,2025-10-14T08:05:20,2025-10-17T08:05:20,Active
L00195,M00642,253000.0,24,12.0,EMP0034,2026-01-07T09:46:18,2026-01-07T09:46:18,Active
L00196,M01066,101800.0,36,12.0,EMP0036,2025-09-22T12:59:04,2025-09-22T12:59:04,Active
L00197,M00849,208200.0,12,12.0,EMP0006,2026-03-31T15:47:41,2026-04-01T15:47:41,Active
L00198,M00120,30900.0,6,12.0,EMP0042,2025-08-12T15:44:08,2025-08-13T15:44:08,Active
L00199,M00510,26200.0,36,12.0,EMP0042,2025-09-03T08:52:54,2025-09-04T08:52:54,Active
L00200,M01434,251200.0,24,12.0,EMP0034,2026-02-10T15:40:25,2026-02-10T15:40:25,Active
L00201,M01128,93800.0,18,12.0,EMP0001,2026-03-10T14:51:06,2026-03-12T14:51:06,Active
L00202,M01374,190900.0,18,12.0,EMP0007,2026-04-10T09:12:47,2026-04-10T09:12:47,Active
L00203,M00920,205700.0,6,12.0,EMP0018,2025-10-01T15:54:45,2025-10-01T15:54:45,Active
L00204,M00021,82500.0,6,12.0,EMP0019,2025-12-26T10:01:31,2025-12-26T10:01:31,Active
L00205,M01485,232400.0,24,12.0,EMP0001,2026-05-11T10:23:24,2026-05-13T10:23:24,Active
L00206,M00549,214700.0,6,12.0,EMP0010,2025-08-08T15:44:31,2025-08-08T15:44:31,Active
L00207,M00318,180200.0,6,12.0,EMP0028,2025-11-18T15:13:59,2025-11-21T15:13:59,Active
L00208,M01162,51100.0,18,12.0,EMP0041,2025-12-29T10:22:58,2025-12-29T10:22:58,Active
L00209,M01213,284400.0,18,12.0,EMP0037,2025-12-24T09:40:24,2025-12-27T09:40:24,Active
L00210,M00214,181100.0,36,12.0,EMP0009,2025-12-19T13:41:07,2025-12-22T13:41:07,Active
L00211,M00814,165900.0,12,12.0,EMP0045,2026-05-21T15:59:50,2026-05-22T15:59:50,Active
L00212,M01371,111900.0,24,12.0,EMP0046,2025-10-16T15:10:36,2025-10-17T15:10:36,Active
L00213,M00528,102200.0,36,12.0,EMP0041,2026-01-12T12:36:32,2026-01-12T12:36:32,Active
L00214,M00558,136400.0,6,12.0,EMP0018,2025-09-29T10:18:13,2025-09-30T10:18:13,Active
L00215,M01345,96100.0,36,12.0,EMP0034,2026-02-20T11:43:23,2026-02-21T11:43:23,Active
L00216,M01163,261600.0,12,12.0,EMP0034,2025-08-05T14:31:41,2025-08-08T14:31:41,Active
L00217,M00723,57400.0,6,12.0,EMP0007,2025-10-30T10:01:52,2025-11-01T10:01:52,Active
L00218,M00184,32900.0,36,12.0,EMP0001,2025-10-29T10:42:15,2025-10-31T10:42:15,Active
L00219,M00843,70400.0,24,12.0,EMP0041,2025-10-09T14:54:26,2025-10-10T14:54:26,Active
L00220,M00541,270100.0,36,12.0,EMP0034,2026-02-04T14:02:10,2026-02-04T14:02:10,Active
L00221,M01197,122900.0,24,12.0,EMP0045,2026-01-06T13:44:43,2026-01-06T13:44:43,Active
L00222,M01210,209800.0,12,12.0,EMP0042,2025-07-11T16:37:11,2025-07-13T16:37:11,Active
L00223,M00068,16600.0,6,12.0,EMP0028,2026-03-31T09:53:20,2026-03-31T09:53:20,Active
L00224,M00416,24600.0,36,12.0,EMP0045,2026-03-06T14:58:56,2026-03-06T14:58:56,Active
L00225,M00764,271100.0,12,12.0,EMP0019,2025-10-30T13:22:03,2025-10-30T13:22:03,Active
L00226,M00978,36100.0,36,12.0,EMP0046,2026-02-25T10:49:32,2026-02-26T10:49:32,Active
L00227,M00373,156900.0,36,12.0,EMP0007,2026-01-21T08:23:24,2026-01-23T08:23:24,Active
L00228,M01151,85500.0,12,12.0,EMP0046,2025-10-14T08:06:47,2025-10-16T08:06:47,Active
L00229,M01115,55000.0,12,12.0,EMP0010,2025-12-11T09:21:27,2025-12-13T09:21:27,Active
L00230,M00561,104500.0,12,12.0,EMP0034,2026-03-02T10:18:16,2026-03-03T10:18:16,Active
L00231,M00631,119100.0,6,12.0,EMP0028,2025-10-22T15:23:14,2025-10-24T15:23:14,Active
L00232,M00037,184600.0,18,12.0,EMP0019,2025-08-13T11:56:18,2025-08-13T11:56:18,Active
L00233,M00834,26800.0,6,12.0,EMP0024,2025-08-18T16:28:53,2025-08-21T16:28:53,Active
L00234,M00155,33500.0,36,12.0,EMP0041,2025-10-10T08:42:31,2025-10-12T08:42:31,Active
L00235,M01236,92000.0,18,12.0,EMP0009,2026-01-07T16:11:50,2026-01-07T16:11:50,Active
L00236,M00138,298500.0,12,12.0,EMP0034,2025-10-03T15:19:05,2025-10-05T15:19:05,Active
L00237,M00924,15400.0,12,12.0,EMP0037,2025-10-13T11:59:42,2025-10-14T11:59:42,Active
L00238,M01116,109300.0,18,12.0,EMP0032,2026-01-16T09:17:27,2026-01-17T09:17:27,Active
L00239,M01037,35500.0,24,12.0,EMP0037,2026-03-03T12:14:47,2026-03-03T12:14:47,Active
L00240,M00402,11300.0,24,12.0,EMP0009,2026-05-11T09:40:26,2026-05-13T09:40:26,Active
L00241,M01017,109300.0,18,12.0,EMP0036,2026-01-16T12:16:24,2026-01-19T12:16:24,Active
L00242,M00573,296200.0,6,12.0,EMP0010,2026-03-04T08:26:59,2026-03-04T08:26:59,Active
L00243,M01203,10400.0,12,12.0,EMP0010,2026-05-07T10:08:53,2026-05-08T10:08:53,Active
L00244,M00973,93600.0,24,12.0,EMP0001,2026-04-20T12:19:00,2026-04-22T12:19:00,Active
L00245,M00724,255000.0,12,12.0,EMP0033,2026-01-27T12:51:00,2026-01-29T12:51:00,Active
L00246,M00680,47800.0,24,12.0,EMP0018,2025-08-13T13:48:12,2025-08-16T13:48:12,Active
L00247,M00020,216500.0,12,12.0,EMP0028,2025-09-09T16:58:45,2025-09-11T16:58:45,Active
L00248,M00781,28600.0,24,12.0,EMP0037,2026-05-15T10:18:30,2026-05-17T10:18:30,Active
L00249,M00548,235700.0,12,12.0,EMP0042,2026-03-11T09:13:59,2026-03-11T09:13:59,Active
L00250,M00779,230400.0,6,12.0,EMP0007,2025-08-22T14:03:42,2025-08-25T14:03:42,Active
L00251,M00525,119200.0,18,12.0,EMP0040,2025-12-16T15:21:19,2025-12-18T15:21:19,Active
L00252,M01397,295000.0,18,12.0,EMP0033,2026-01-01T13:37:30,2026-01-02T13:37:30,Active
L00253,M00815,59200.0,36,12.0,EMP0037,2026-05-20T14:33:29,2026-05-23T14:33:29,Active
L00254,M00682,234100.0,18,12.0,EMP0028,2026-04-20T13:32:03,2026-04-21T13:32:03,Active
L00255,M00969,150500.0,18,12.0,EMP0042,2025-10-06T08:03:14,2025-10-08T08:03:14,Active
L00256,M01072,274800.0,18,12.0,EMP0022,2025-07-18T09:47:24,2025-07-20T09:47:24,Active
L00257,M01398,248700.0,24,12.0,EMP0041,2025-08-12T09:03:56,2025-08-13T09:03:56,Active
