loan_id,guarantor_member_id
L00131,M01070
L00132,M00206
L00132,M00171
L00133,M01297
L00133,M01095
L00134,M00589
L00134,M00930
L00135,M00563
L00135,M00426
L00136,M00127
L00136,M01199
L00137,M00010
L00137,M00540
L00138,M00416
L00138,M01207
L00139,M00375
L00139,M01355
L00140,M00742
L00140,M00466
L00141,M01026
L00141,M01482
L00142,M00084
L00142,M01339
L00143,M00211
L00143,M00890
L00144,M00604
L00144,M00282
L00145,M00770
L00145,M01024
L00146,M00272
L00146,M01245
L00147,M01419
L00147,M01403
L00148,M00836
L00148,M00894
L00149,M00076
L00149,M01077
L00150,M00397
L00150,M01270
L00151,M00312
L00151,M01461
L00152,M00766
L00152,M00328
L00153,M01031
L00153,M00333
L00154,M00210
L00154,M01488
L00155,M01086
L00155,M00025
L00156,M00312
L00156,M01047
L00157,M01311
L00157,M00199
L00158,M01097
L00158,M00066
L00159,M00206
L00159,M01084
L00160,M00437
L00160,M01001
L00161,M01436
L00161,M00084
L00162,M01352
L00162,M00711
L00163,M00836
L00163,M01397
L00164,M00095
L00164,M00328
L00165,M00151
L00165,M00230
L00166,M00458
L00166,M00416
L00167,M00924
L00167,M00816
L00168,M00002
L00168,M00167
L00169,M01458
L00169,M00280
L00170,M01364
L00170,M00386
L00171,M00037
L00171,M01473
L00172,M01476
L00172,M00106
L00173,M01294
L00173,M00604
L00174,M00935
L00174,M00267
L00175,M00619
L00175,M00933
L00176,M00084
L00176,M00731
L00177,M01079
L00177,M00146
L00178,M01308
L00178,M00113
L00179,M00377
L00179,M01321
L00180,M00239
L00180,M01009
L00181,M01181
L00181,M00943
L00182,M00562
L00182,M01447
L00183,M00218
L00183,M01233
L00184,M01247
L00184,M00766
L00185,M00282
L00185,M00729
L00186,M01393
L00186,M00381
L00187,M00965
L00187,M00475
L00188,M00869
L00188,M01016
L00189,M00372
L00189,M01041
L00190,M01138
L00190,M00178
L00191,M00580
L00191,M00693
L00192,M00110
L00192,M00624
L00193,M00918
L00193,M01004
L00194,M00234
L00194,M00089
L00195,M01186
L00195,M00626
L00196,M00383
L00196,M01192
L00197,M00218
L00197,M00664
L00198,M00765
L00198,M00062
L00199,M00260
L00199,M01126
L00200,M00524
L00200,M01111
L00201,M00963
L00201,M00825
L00202,M00845
L00202,M01405
L00203,M01135
L00203,M01050
L00204,M00416
L00204,M01220
L00205,M00831
L00205,M00003
L00206,M00137
L00206,M00384
L00207,M01379
L00207,M01315
L00208,M01115
L00208,M00575
L00209,M01017
L00209,M01106
L00210,M01298
L00210,M00937
L00211,M00278
L00211,M00477
L00212,M00519
L00212,M01427
L00213,M01428
L00213,M00228
L00214,M00447
L00214,M00636
L00215,M00739
L00215,M00780
L00216,M00252
L00216,M01172
L00217,M00983
L00217,M01008
L00218,M00992
L00218,M01281
L00219,M00372
L00219,M00245
L00220,M01158
L00220,M00665
L00221,M00349
L00221,M00382
L00222,M00539
L00222,M00370
L00223,M00168
L00223,M00651
L00224,M01188
L00224,M00242
L00225,M00324
L00225,M01454
L00226,M00025
L00226,M00211
L00227,M00233
L00227,M01402
L00228,M01217
L00228,M00246
L00229,M00477
L00229,M00126
L00230,M00879
L00230,M00311
L00231,M01173
L00231,M00346
L00232,M00899
L00232,M00780
L00233,M00267
L00233,M01335
L00234,M01169
L00234,M00356
L00235,M01089
L00235,M01076
L00236,M00488
L00236,M00002
L00237,M01373
L00237,M01120
L00238,M00896
L00238,M00054
L00239,M00751
L00239,M00122
L00240,M00137
L00240,M00598
L00241,M00928
L00241,M01085
L00242,M01084
L00242,M01118
L00243,M00751
L00243,M00747
L00244,M00168
L00244,M01325
L00245,M00472
L00245,M00484
L00246,M01132
L00246,M00733
L00247,M00082
L00247,M01415
L00248,M01354
L00248,M00238
L00249,M01258
L00249,M01306
L00250,M00947
L00250,M00979
L00251,M00316
L00251,M00210
L00252,M00957
L00252,M00247
L00253,M00828
L00253,M00805
L00254,M00122
L00254,M00469
L00255,M00084
L00255,M00040
L00256,M00940
L00256,M00530
L00257,M01109
L00257,M00324
L00258,M00578
L00258,M01247
L00259,M00387
L00259,M00593
L00260,M01400
L00260,M00851
L00261,M01047
L00261,M01259
L00262,M00316
L00262,M00470
L00263,M01274
L00263,M00671
L00264,M01438
L00264,M00589
L00265,M00403
L00265,M01287
L00266,M00158
L00266,M00843
L00267,M00309
L00267,M01370
L00268,M01178
L00268,M00741
L00269,M00426
L00269,M00178
L00270,M00849
L00270,M00618
L00271,M00938
L00271,M00420
L00272,M00815
L00272,M00368
L00273,M00930
L00273,M00475
L00274,M00919
L00274,M00908
L00275,M00262
L00275,M00860
L00276,M01481
L00276,M00221
L00277,M00331
L00277,M01291
L00278,M00694
L00278,M01494
L00279,M01321
L00279,M00288
L00280,M00120
L00280,M00307
L00281,M00962
L00281,M00996
L00282,M00122
L00282,M00760
L00283,M00334
L00283,M00798
L00284,M00957
L00284,M00632
L00285,M01190
L00285,M00788
L00286,M01108
L00286,M01175
L00287,M00614
L00287,M01220
L00288,M00106
L00288,M00065
L00289,M01067
L00289,M01022
L00290,M00030
L00290,M00699
L00291,M00166
L00291,M01147
L00292,M01426
L00292,M00096
L00293,M00795
L00293,M00830
L00294,M00379
L00294,M00059
L00295,M00023
L00295,M00311
L00296,M00877
L00296,M00459
L00297,M00257
L00297,M00837
L00298,M01208
L00298,M00381
L00299,M01281
L00299,M00708
L00300,M00845
L00300,M00704
L00301,M00272
L00301,M00180
L00302,M00907
L00302,M00344
L00303,M00032
L00303,M00392
L00304,M00232
L00304,M00921
L00305,M00994
L00305,M00371
L00306,M01181
L00306,M01416
L00307,M00859
L00307,M01018
L00308,M01023
L00308,M00407
L00309,M00197
L00309,M00178
L00310,M00619
L00310,M00350
L00311,M01413
L00311,M00772
L00312,M00663
L00312,M01485
L00313,M00379
L00313,M01303
L00314,M00006
L00314,M01225
L00315,M00127
L00315,M00807
L00316,M00741
L00316,M00979
L00317,M01054
L00317,M01188
L00318,M01103
L00318,M01375
L00319,M01249
L00319,M00658
L00320,M01055
L00320,M00902
L00321,M01419
L00321,M01197
L00322,M01306
L00322,M00641
L00323,M00826
L00323,M01074
L00324,M01411
L00324,M00961
L00325,M00344
L00325,M01118
L00326,M00084
L00326,M00977
L00327,M00861
L00327,M00814
L00328,M00109
L00328,M00768
L00329,M01082
L00329,M00300
L00330,M01232
L00330,M00715
L00331,M01156
L00331,M01357
L00332,M00435
L00332,M00378
L00333,M01200
L00333,M00311
L00334,M00553
L00334,M00868
L00335,M00827
L00335,M00687
L00336,M00945
L00336,M01275
L00337,M00218
L00337,M00012
L00338,M01375
L00338,M00296
L00339,M01249
L00339,M01377
L00340,M01485
L00340,M01016
L00341,M00064
L00341,M00202
L00342,M00892
L00342,M00082
L00343,M00011
L00343,M01063
L00344,M01401
L00344,M01068
L00345,M01189
L00345,M00293
L00346,M00530
L00346,M01491
L00347,M01470
L00347,M00427
L00348,M00514
L00348,M00115
L00349,M01110
L00349,M01006
L00350,M01265
L00350,M00981
L00351,M00601
L00351,M00593
L00352,M00901
L00352,M00238
L00353,M00706
L00353,M01419
L00354,M00672
L00354,M00531
L00355,M01403
L00355,M00755
L00356,M01129
L00356,M01201
L00357,M01061
L00357,M00597
L00358,M01309
L00358,M00597
L00359,M00751
L00359,M00085
L00360,M00276
L00360,M01216
L00361,M00573
L00361,M00742
L00362,M00950
L00362,M01052
L00363,M00871
L00363,M01160
L00364,M00161
L00364,M00112
L00365,M00318
L00365,M00748
L00366,M00813
L00366,M00166
L00367,M00382
L00367,M00491
L00368,M00341
L00368,M00132
L00369,M01404
L00369,M01152
L00370,M00610
L00370,M01222
L00371,M01156
L00371,M01431
L00372,M00622
L00372,M01125
L00373,M01462
L00373,M00635
L00374,M00042
L00374,M00608
L00375,M00834
L00375,M00489
L00376,M00253
L00376,M01440
L00377,M00823
L00377,M00332
L00378,M00518
L00378,M00781
L00379,M00012
L00379,M00421
L00380,M00473
L00380,M00898
L00381,M01478
L00381,M00452
L00382,M00692
L00382,M00938
L00383,M01333
L00383,M00327
L00384,M00564
L00384,M01334
L00385,M00729
L00385,M00257
L00386,M00258
L00386,M01081
L00387,M00367
L00387,M00445
L00388,M01408
L00388,M00525
L00389,M00446
L00389,M00663
L00390,M00200
L00390,M00369
L00391,M01286
L00391,M00896
L00392,M01143
L00392,M00702
L00393,M00747
L00393,M01062
L00394,M01049
L00394,M01251
L00395,M00837
L00395,M00306
L00396,M01483
L00396,M01071
L00397,M01018
L00397,M01248
L00398,M00161
L00398,M00443
L00399,M01310
L00399,M00598
L00400,M01385
L00400,M00174
L00401,M00132
L00401,M00342
L00402,M00027
L00402,M00612
L00403,M00955
L00403,M00684
L00404,M00275
L00404,M00803
L00405,M01375
L00405,M00414
L00406,M01442
L00406,M01005
L00407,M01173
L00407,M00155
L00408,M01306
L00408,M01446
L00409,M01356
L00409,M00061
L00410,M01235
L00410,M01216
L00411,M01178
L00411,M00975
L00412,M01025
L00412,M00456
L00413,M00320
L00413,M00712
L00414,M01356
L00414,M01235
L00415,M00621
L00415,M01489
L00416,M01295
L00416,M00309
L00417,M01217
L00417,M00975
L00418,M00063
L00418,M00210
L00419,M01484
L00419,M01191
L00420,M00596
L00420,M01137
L00421,M00621
L00421,M00164
L00422,M01468
L00422,M01081
L00423,M00888
L00423,M01171
L00424,M01290
L00424,M00859
L00425,M00762
L00425,M01014
L00426,M00818
L00426,M01033
L00427,M00147
L00427,M00795
L00428,M00984
L00428,M01291
L00429,M01181
L00429,M00427
L00430,M01091
L00430,M00299
L00431,M01191
L00431,M00688
L00432,M00934
L00432,M00338
L00433,M00787
L00433,M00775
L00434,M00780
L00434,M00545
L00435,M00152
L00435,M01437
L00436,M01176
L00436,M00967
L00437,M01494
L00437,M01210
L00438,M01478
L00438,M00616
L00439,M01005
L00439,M00935
L00440,M00318
L00440,M00732
L00441,M01151
L00441,M00815
L00442,M01329
L00442,M00713
L00443,M01344
L00443,M00263
L00444,M00623
L00444,M00886
L00445,M00909
L00445,M00424
L00446,M00936
L00446,M00271
L00447,M00306
L00447,M01387
L00448,M00724
L00448,M01047
L00449,M00338
L00449,M00603
L00450,M01160
L00450,M00519
L00451,M01123
L00451,M01325
L00452,M00726
L00452,M00813
L00453,M00796
L00453,M01340
L00454,M00629
L00454,M00529
L00455,M00181
L00455,M01179
L00456,M00254
L00456,M00501
L00457,M01058
L00457,M00014
L00458,M00666
L00458,M00725
L00459,M00693
L00459,M00609
L00460,M00835
L00460,M00682
L00461,M00367
L00461,M00644
L00462,M00869
L00462,M01372
L00463,M00693
L00463,M01169
L00464,M01292
L00464,M00006
L00465,M01347
L00465,M01467
L00466,M00988
L00466,M00623
L00467,M01155
L00467,M00783
L00468,M01246
L00468,M00896
L00469,M01175
L00469,M00490
L00470,M00758
L00470,M00335
L00471,M00605
L00471,M00293
L00472,M01203
L00472,M01371
L00473,M01368
L00473,M00061
L00474,M00078
L00474,M00471
L00475,M01198
L00475,M00310
L00476,M00292
L00476,M00476
L00477,M00371
L00477,M00429
L00478,M01279
L00478,M01016
L00479,M00296
L00479,M01482
L00480,M00927
L00480,M00935
L00481,M00241
L00481,M00791
L00482,M01091
L00482,M00726
L00483,M00281
L00483,M00651
L00484,M00723
L00484,M00747
L00485,M00287
L00485,M00267
L00486,M00611
L00486,M00924
L00487,M00366
L00487,M01015
L00488,M00425
L00488,M00918
L00489,M00087
L00489,M00191
L00490,M00300
L00490,M01022
L00491,M00101
L00491,M00353
L00492,M01420
L00492,M00393
L00493,M00468
L00493,M00263
L00494,M00790
L00494,M01066
L00495,M00758
L00495,M01425
L00496,M00677
L00496,M01364
L00497,M00760
L00497,M00947
L00498,M00299
L00498,M00995
L00499,M00260
L00499,M00684
L00500,M00548
L00500,M00289
L00501,M00938
L00501,M00908
L00502,M00694
L00502,M00803
L00503,M00872
L00503,M00156
L00504,M01216
L00504,M00376
L00505,M00150
L00505,M00958
L00506,M00596
L00506,M00976
L00507,M00086
L00507,M00606
L00508,M01091
L00508,M00022
L00509,M00205
L00509,M00266
L00510,M00570
L00510,M00563
L00511,M00470
L00511,M00389
L00512,M00573
L00512,M00772
L00513,M01105
L00513,M01131
L00514,M00885
L00514,M00483
L00515,M01349
L00515,M00532
L00516,M01107
L00516,M00989
L00517,M01089
L00517,M00562
L00518,M00719
L00518,M00120
L00519,M00911
L00519,M00274
L00520,M01079
L00520,M01186
L00521,M00513
L00521,M01360
L00522,M00828
L00522,M00992
L00523,M00540
L00523,M00383
L00524,M01393
L00524,M00750
L00525,M01091
L00525,M01056
L00526,M00869
L00526,M01066
L00527,M00560
L00527,M01143
L00528,M00258
L00528,M00033
L00529,M00418
L00529,M00726
L00530,M00729
L00530,M00140
L00531,M00299
L00531,M01431
L00532,M00320
L00532,M00790
L00533,M00204
L00533,M01089
L00534,M00444
L00534,M00324
L00535,M00440
L00535,M00697
L00536,M00818
L00536,M00388
L00537,M01250
L00537,M01265
L00538,M01403
L00538,M00125
L00539,M00687
L00539,M00798
L00540,M00053
L00540,M00281
L00541,M00490
L00541,M00823
L00542,M00412
L00542,M00847
L00543,M01432
L00543,M00529
L00544,M01434
L00544,M00935
L00545,M00834
L00545,M00857
L00546,M01356
L00546,M01068
L00547,M00441
L00547,M00151
L00548,M01155
L00548,M00642
L00549,M00282
L00549,M00814
L00550,M00023
L00550,M00876
L00551,M01317
L00551,M00398
L00552,M00362
L00552,M00613
L00553,M00535
L00553,M00067
L00554,M01296
L00554,M00292
L00555,M01366
L00555,M01102
L00556,M00267
L00556,M00637
L00557,M00092
L00557,M00779
L00558,M00430
L00558,M00819
L00559,M00644
L00559,M00343
L00560,M00340
L00560,M01242
L00561,M00918
L00561,M01319
L00562,M00700
L00562,M00513
L00563,M01093
L00563,M01107
L00564,M00418
L00564,M00232
L00565,M00755
L00565,M00927
L00566,M00337
L00566,M00625
L00567,M01149
L00567,M00779
L00568,M01444
L00568,M00473
L00569,M01295
L00569,M00321
L00570,M00502
L00570,M01371
L00571,M00715
L00571,M00788
L00572,M00276
L00572,M00305
L00573,M01453
L00573,M00812
L00574,M00564
L00574,M00424
L00575,M00938
L00575,M00985
L00576,M01154
L00576,M00602
L00577,M00552
L00577,M00630
L00578,M00464
L00578,M00850
L00579,M00596
L00579,M00928
L00580,M01379
L00580,M00326
L00581,M00947
L00581,M00137
L00582,M00567
L00582,M00185
L00583,M00115
L00583,M00769
L00584,M00604
L00584,M00527
L00585,M00802
L00585,M00151
L00586,M00425
L00586,M01397
L00587,M00474
L00587,M01092
L00588,M01163
L00588,M00846
L00589,M00296
L00589,M00717
L00590,M01452
L00590,M00681
L00591,M00358
L00591,M00432
L00592,M01414
L00592,M01197
L00593,M00031
L00593,M01224
L00594,M00575
L00594,M00961
L00595,M00856
L00595,M01370
L00596,M00626
L00596,M00039
L00597,M01468
L00597,M00590
L00598,M00720
L00598,M00502
L00599,M00143
L00599,M00257
L00600,M00992
L00600,M00363
L00601,M00600
L00601,M00904
L00602,M01096
L00602,M01008
L00603,M00954
L00603,M01101
L00604,M00029
L00604,M00651
L00605,M00207
L00605,M01108
L00606,M01124
L00606,M00887
L00607,M00994
L00607,M00793
L00608,M00661
L00608,M01192
L00609,M01303
L00609,M00108
L00610,M00345
L00610,M00240
L00611,M00074
L00611,M00019
L00612,M01381
L00612,M01404
L00613,M00494
L00613,M01229
L00614,M00706
L00614,M00393
L00615,M00220
L00615,M00758
L00616,M00149
L00616,M01173
L00617,M00810
L00617,M01008
L00618,M00382
L00618,M00775
L00619,M01095
L00619,M01206
L00620,M00202
L00620,M00881
L00621,M01263
L00621,M00187
L00622,M00945
L00622,M00381
L00623,M00544
L00623,M00126
L00624,M00861
L00624,M00416
L00625,M00263
L00625,M01116
L00626,M00065
L00626,M00497
L00627,M00065
L00627,M01124
L00628,M00065
L00628,M00036
L00629,M00065
L00629,M01370
L00630,M00065
L00630,M00345
L00631,M00065
L00631,M00427
L00632,M00065
L00632,M00689
L00633,M00065
L00633,M01017
L00634,M00065
L00634,M01052
L00635,M00065
L00635,M00601
L00636,M00065
L00636,M00999
L00637,M00065
L00637,M00433
L00638,M00065
L00638,M01148
L00639,M00065
L00639,M01131
L00640,M00065
L00640,M01250
L00641,M00065
L00641,M00642
L00642,M00065
L00642,M00579
L00643,M00065
L00643,M00464
L00644,M01151
L00644,M00192
L00645,M00677
L00645,M00066
L00646,M00355
L00646,M00629
L00647,M00582
L00647,M00089
L00648,M00988
L00648,M00248
L00649,M00714
L00649,M01371
L00650,M00364
L00650,M01163
L00651,M00501
L00651,M00550
L00652,M00425
L00652,M00778
L00653,M01081
L00653,M00534
L00654,M00076
L00654,M00862
L00655,M01341
L00655,M00783
L00656,M00560
L00656,M01497
L00657,M01287
L00657,M00585
L00658,M01125
L00658,M00544
L00659,M00737
L00659,M01297
L00660,M00920
L00660,M01183
L00661,M00248
L00661,M00412
L00662,M01074
L00662,M00396
L00663,M00411
L00663,M00404
L00664,M01026
L00664,M00190
L00665,M00338
L00665,M00667
L00666,M01158
L00666,M00135
L00667,M00047
L00667,M00861
L00668,M01110
L00668,M01134
L00669,M00991
L00670,M01498
L00671,M00964
L00672,M00351
L00673,M00311
L00674,M00234
L00675,M00945
L00676,M00710
L00677,M00315
